nohup: ignoring input
Images: 1803460. Masks: 12000
Images: 36500. Masks: 12000
[TRAIN] Epoch[1(1780/225432)]; Loss_G:0.638370; Loss_D:0.673212; PSNR:22.0452; time:1.0040 sec
[TRAIN] Epoch[1(1800/225432)]; Loss_G:0.692494; Loss_D:0.684402; PSNR:20.9976; time:1.1084 sec
[TRAIN] Epoch[1(1820/225432)]; Loss_G:0.968935; Loss_D:0.649475; PSNR:20.1949; time:1.2233 sec
[TRAIN] Epoch[1(1840/225432)]; Loss_G:1.188215; Loss_D:0.655513; PSNR:17.8511; time:1.1954 sec
[TRAIN] Epoch[1(1860/225432)]; Loss_G:0.346315; Loss_D:0.702163; PSNR:27.3619; time:1.1382 sec
[TRAIN] Epoch[1(1880/225432)]; Loss_G:0.409901; Loss_D:0.691527; PSNR:26.5879; time:1.0407 sec
[TRAIN] Epoch[1(1900/225432)]; Loss_G:0.479093; Loss_D:0.691089; PSNR:25.3743; time:0.8349 sec
[TRAIN] Epoch[1(1920/225432)]; Loss_G:1.212058; Loss_D:0.665573; PSNR:19.5930; time:1.1153 sec
[TRAIN] Epoch[1(1940/225432)]; Loss_G:0.816834; Loss_D:0.670014; PSNR:20.4688; time:0.9748 sec
[TRAIN] Epoch[1(1960/225432)]; Loss_G:0.938579; Loss_D:0.671727; PSNR:19.5980; time:1.0140 sec
[TRAIN] Epoch[1(1980/225432)]; Loss_G:0.851637; Loss_D:0.652297; PSNR:21.4230; time:0.8882 sec
[TRAIN] Epoch[1(2000/225432)]; Loss_G:0.606969; Loss_D:0.677902; PSNR:22.6439; time:1.0422 sec
[TRAIN] Epoch[1(2020/225432)]; Loss_G:1.114921; Loss_D:0.656575; PSNR:18.9113; time:0.8119 sec
[TRAIN] Epoch[1(2040/225432)]; Loss_G:1.000367; Loss_D:0.656595; PSNR:20.0065; time:0.9877 sec
[TRAIN] Epoch[1(2060/225432)]; Loss_G:0.591670; Loss_D:0.668914; PSNR:22.8210; time:1.1147 sec
[TRAIN] Epoch[1(2080/225432)]; Loss_G:0.513858; Loss_D:0.684577; PSNR:24.1710; time:1.1389 sec
[TRAIN] Epoch[1(2100/225432)]; Loss_G:0.430511; Loss_D:0.684069; PSNR:26.0177; time:1.0148 sec
[TRAIN] Epoch[1(2120/225432)]; Loss_G:0.745891; Loss_D:0.661860; PSNR:21.5813; time:0.9392 sec
[TRAIN] Epoch[1(2140/225432)]; Loss_G:0.782778; Loss_D:0.661387; PSNR:22.5424; time:0.9995 sec
[TRAIN] Epoch[1(2160/225432)]; Loss_G:0.732741; Loss_D:0.667088; PSNR:22.3767; time:0.8983 sec
[TRAIN] Epoch[1(2180/225432)]; Loss_G:0.620029; Loss_D:0.665916; PSNR:22.6934; time:1.0914 sec
[TRAIN] Epoch[1(2200/225432)]; Loss_G:0.747982; Loss_D:0.660991; PSNR:21.5863; time:1.0470 sec
[TRAIN] Epoch[1(2220/225432)]; Loss_G:1.160801; Loss_D:0.649926; PSNR:18.7011; time:0.9239 sec
[TRAIN] Epoch[1(2240/225432)]; Loss_G:0.931516; Loss_D:0.662716; PSNR:20.0107; time:1.2625 sec
[TRAIN] Epoch[1(2260/225432)]; Loss_G:0.716479; Loss_D:0.675452; PSNR:21.7255; time:1.1268 sec
[TRAIN] Epoch[1(2280/225432)]; Loss_G:0.876266; Loss_D:0.655039; PSNR:20.6470; time:0.9224 sec
[TRAIN] Epoch[1(2300/225432)]; Loss_G:0.748682; Loss_D:0.670384; PSNR:22.2751; time:1.1231 sec
[TRAIN] Epoch[1(2320/225432)]; Loss_G:0.481316; Loss_D:0.691457; PSNR:25.4256; time:1.0681 sec
[TRAIN] Epoch[1(2340/225432)]; Loss_G:0.377533; Loss_D:0.698487; PSNR:24.8535; time:1.1001 sec
[TRAIN] Epoch[1(2360/225432)]; Loss_G:0.496451; Loss_D:0.689610; PSNR:23.5988; time:1.2047 sec
[TRAIN] Epoch[1(2380/225432)]; Loss_G:0.590462; Loss_D:0.681138; PSNR:22.7223; time:1.0857 sec
[TRAIN] Epoch[1(2400/225432)]; Loss_G:0.952505; Loss_D:0.660807; PSNR:20.7882; time:0.9001 sec
[TRAIN] Epoch[1(2420/225432)]; Loss_G:0.760568; Loss_D:0.658136; PSNR:21.8811; time:1.2765 sec
[TRAIN] Epoch[1(2440/225432)]; Loss_G:0.810421; Loss_D:0.666112; PSNR:20.8591; time:0.8627 sec
[TRAIN] Epoch[1(2460/225432)]; Loss_G:0.827480; Loss_D:0.671907; PSNR:20.6391; time:1.0334 sec
[TRAIN] Epoch[1(2480/225432)]; Loss_G:0.988268; Loss_D:0.649980; PSNR:19.9228; time:1.0856 sec
[TRAIN] Epoch[1(2500/225432)]; Loss_G:0.987926; Loss_D:0.664235; PSNR:18.2824; time:0.9250 sec
[TRAIN] Epoch[1(2520/225432)]; Loss_G:0.770955; Loss_D:0.662745; PSNR:21.1224; time:0.9627 sec
[TRAIN] Epoch[1(2540/225432)]; Loss_G:0.566498; Loss_D:0.667719; PSNR:24.2204; time:1.0799 sec
[TRAIN] Epoch[1(2560/225432)]; Loss_G:0.647413; Loss_D:0.667376; PSNR:22.3543; time:0.9652 sec
[TRAIN] Epoch[1(2580/225432)]; Loss_G:0.531496; Loss_D:0.684827; PSNR:22.6399; time:1.0367 sec
[TRAIN] Epoch[1(2600/225432)]; Loss_G:0.864229; Loss_D:0.675116; PSNR:20.7080; time:1.1201 sec
[TRAIN] Epoch[1(2620/225432)]; Loss_G:0.621161; Loss_D:0.676175; PSNR:24.4389; time:0.9557 sec
[TRAIN] Epoch[1(2640/225432)]; Loss_G:0.632143; Loss_D:0.674939; PSNR:22.4927; time:0.9938 sec
[TRAIN] Epoch[1(2660/225432)]; Loss_G:0.587170; Loss_D:0.679280; PSNR:22.4382; time:0.9158 sec
[TRAIN] Epoch[1(2680/225432)]; Loss_G:0.886346; Loss_D:0.653709; PSNR:20.9021; time:0.9572 sec
[TRAIN] Epoch[1(2700/225432)]; Loss_G:0.517330; Loss_D:0.694849; PSNR:23.3380; time:0.9776 sec
[TRAIN] Epoch[1(2720/225432)]; Loss_G:0.435505; Loss_D:0.675996; PSNR:25.5044; time:1.1077 sec
[TRAIN] Epoch[1(2740/225432)]; Loss_G:0.484995; Loss_D:0.675975; PSNR:24.2541; time:0.9392 sec
[TRAIN] Epoch[1(2760/225432)]; Loss_G:0.616251; Loss_D:0.672502; PSNR:22.4399; time:1.0369 sec
[TRAIN] Epoch[1(2780/225432)]; Loss_G:0.653116; Loss_D:0.668782; PSNR:23.1424; time:0.9284 sec
[TRAIN] Epoch[1(2800/225432)]; Loss_G:0.529299; Loss_D:0.677898; PSNR:22.3601; time:0.9441 sec
[TRAIN] Epoch[1(2820/225432)]; Loss_G:0.503298; Loss_D:0.670662; PSNR:24.0741; time:1.1277 sec
[TRAIN] Epoch[1(2840/225432)]; Loss_G:0.565340; Loss_D:0.679186; PSNR:23.9579; time:1.2328 sec
[TRAIN] Epoch[1(2860/225432)]; Loss_G:0.793248; Loss_D:0.672678; PSNR:21.5000; time:1.0680 sec
[TRAIN] Epoch[1(2880/225432)]; Loss_G:0.662321; Loss_D:0.671029; PSNR:22.5959; time:1.0718 sec
[TRAIN] Epoch[1(2900/225432)]; Loss_G:0.510721; Loss_D:0.676940; PSNR:24.0903; time:1.1206 sec
[TRAIN] Epoch[1(2920/225432)]; Loss_G:0.905576; Loss_D:0.667182; PSNR:21.4510; time:1.1788 sec
[TRAIN] Epoch[1(2940/225432)]; Loss_G:0.641073; Loss_D:0.667939; PSNR:22.8112; time:1.1598 sec
[TRAIN] Epoch[1(2960/225432)]; Loss_G:0.721638; Loss_D:0.681514; PSNR:21.3206; time:0.9891 sec
[TRAIN] Epoch[1(2980/225432)]; Loss_G:0.760518; Loss_D:0.666680; PSNR:21.0480; time:1.0749 sec
[TRAIN] Epoch[1(3000/225432)]; Loss_G:0.632616; Loss_D:0.670163; PSNR:22.1121; time:1.1221 sec
[TRAIN] Epoch[1(3020/225432)]; Loss_G:0.792839; Loss_D:0.664707; PSNR:21.3951; time:1.0704 sec
[TRAIN] Epoch[1(3040/225432)]; Loss_G:0.647691; Loss_D:0.666038; PSNR:23.7640; time:1.1180 sec
[TRAIN] Epoch[1(3060/225432)]; Loss_G:1.172924; Loss_D:0.635242; PSNR:18.3298; time:1.0715 sec
[TRAIN] Epoch[1(3080/225432)]; Loss_G:0.679317; Loss_D:0.668788; PSNR:22.6993; time:1.1906 sec
[TRAIN] Epoch[1(3100/225432)]; Loss_G:1.165529; Loss_D:0.658488; PSNR:17.5497; time:1.0518 sec
[TRAIN] Epoch[1(3120/225432)]; Loss_G:0.628674; Loss_D:0.675528; PSNR:23.1854; time:0.9584 sec
[TRAIN] Epoch[1(3140/225432)]; Loss_G:0.577899; Loss_D:0.668053; PSNR:24.1779; time:1.2420 sec
[TRAIN] Epoch[1(3160/225432)]; Loss_G:0.677941; Loss_D:0.702126; PSNR:21.7690; time:0.8995 sec
[TRAIN] Epoch[1(3180/225432)]; Loss_G:1.075333; Loss_D:0.640253; PSNR:19.1733; time:0.9417 sec
[TRAIN] Epoch[1(3200/225432)]; Loss_G:1.152511; Loss_D:0.631553; PSNR:19.0086; time:1.1238 sec
[TRAIN] Epoch[1(3220/225432)]; Loss_G:0.693376; Loss_D:0.665960; PSNR:22.8294; time:1.0051 sec
[TRAIN] Epoch[1(3240/225432)]; Loss_G:0.839951; Loss_D:0.659810; PSNR:20.1412; time:1.1223 sec
